19世纪初拉丁美洲独立运动的背景之一是什么？,西班牙、葡萄牙残酷的殖民统治引发了拉丁美洲人民的强烈不满。
哪两次革命影响了拉丁美洲的民族意识，并推动了其独立运动？,美国独立战争和法国大革命。
被誉为南美"解放者"的两位拉丁美洲独立运动领导人是谁？,玻利瓦尔和圣马丁。
拉丁美洲独立运动的性质是什么？,一场反抗殖民统治、争取民族独立的运动。
19世纪中期印度民族大起义的背景是什么？,英国完成工业革命后，进一步加强了对印度的经济掠夺和政治压迫。
印度民族大起义的领导人是谁？,章西女王。
印度民族大起义的性质是什么？,一场反抗殖民统治、争取民族独立的运动。
印度民族大起义有何意义？,沉重打击了英国殖民者，反映了印度民族意识的觉醒。
印度民族大起义是19世纪中期亚洲哪个运动的重要组成部分？,民族解放运动。
彼得一世改革前，俄国因盛行_____而发展缓慢。,农奴制
1861年俄国农奴制改革的根本原因是什么？,农奴制严重阻碍了俄国资本主义的发展。
哪场战争的失败激化了俄国社会矛盾，成为1861年改革的直接原因？,克里米亚战争。
彼得一世改革发生于哪个世纪？,18世纪。
1861年农奴制改革是由哪位沙皇推行的？,亚历山大二世。
彼得一世改革是一场自上而下的_____性质的改革。,封建
1861年俄国农奴制改革是一场自上而下的_____性质的改革。,资产阶级
彼得一世改革对俄国军事和近代化有何影响？,使俄国一跃成为欧洲军事强国，并开启了俄国近代化进程。
彼得一世改革的局限性是什么？,农奴制被进一步强化，后来成为俄国社会发展的障碍。
1861年改革对俄国发展道路有何影响？,废除了农奴制，推动俄国走上了发展资本主义的道路，是俄国历史的重要转折点。
1861年俄国农奴制改革的局限性是什么？,农奴制的残余仍然存在，影响着俄国经济与社会的发展。
美国内战的根本原因是什么？,南方奴隶制种植园经济阻碍了北方资本主义经济的发展。
美国内战的导火线是什么事件？,1860年林肯当选总统。
美国内战的起止时间是？,1861-1865年。
哪两部文件成为美国内战（南北战争）的转折点？,《宅地法》和《解放黑人奴隶宣言》。
美国内战的性质是什么？,美国历史上第二次资产阶级革命。
美国内战的进步性影响是什么？,维护了国家统一，废除了奴隶制，清除了资本主义发展的最大障碍，为以后经济迅速发展创造了条件。
日本明治维新的根本原因是什么？,德川幕府推行的锁国政策阻碍了日本社会、经济的发展。
导致日本民族危机严重，从而推动明治维新的外部因素是什么？,美国等西方国家的入侵。
明治维新前，日本国内发生了什么政治事件，为改革扫清了障碍？,倒幕运动成功，结束了幕府统治。
日本明治维新开始于哪一年？,1868年。
明治维新在政治上采取了什么措施以加强中央集权？,废藩置县。
明治维新在军事上采取了什么措施？,实行征兵制，建立新式军队。
明治维新中，最能体现资本主义性质的经济措施口号是什么？,殖产兴业。
明治维新在社会生活上提倡什么？,"文明开化"，向西方学习。
明治维新的进步性影响是什么？,成为日本历史的重大转折点，使日本迅速走上发展资本主义的道路，实现了富国强兵，开始跻身资本主义强国之列。
明治维新的局限性体现在哪里？,保留了大量旧制度的残余，军国主义色彩浓厚，使日本很快走上了对外侵略扩张的道路。
第二次工业革命开始于什么时间？,19世纪六七十年代。
第二次工业革命最显著的特点是什么？,科学研究同工业生产紧密结合。
谁发现了电磁感应现象，为电力的广泛应用奠定了理论基础？,法拉第。
瑞典化学家_____发明了现代炸药。,诺贝尔
美国发明家_____发明了耐用的白炽灯泡。,爱迪生
谁被认为是汽车的发明者？,本茨。
谁成功制造了人类历史上第一架飞机？,莱特兄弟。
第二次工业革命促进了生产力的发展，使人类社会进入了什么时代？,"电气时代"。
第二次工业革命后，主要资本主义国家过渡到了哪个阶段？,垄断资本主义，即帝国主义阶段。
工业化带来了劳动力结构的变化，具体表现为_____不断壮大，越来越多的人从事工商业。,工人阶级
为适应工业化发展的需要，欧洲国家开始推广_____。,大众教育
工业革命开始后，农村人口不断流向城市，城市规模越来越大，这一现象被称为_____。,城市化
工业化国家面临的主要社会问题有哪些？,环境污染和贫富分化加剧。
英国科学家牛顿的三大成就是什么？,万有引力定律、光学分析、微积分学。
牛顿于1687年出版的，奠定近代物理学基础的科学巨著是什么？,《自然哲学的数学原理》。
达尔文于1859年出版了哪本书，提出了进化论的观点？,《物种起源》。
法国作家巴尔扎克创作的系列小说集叫什么名字？,《人间喜剧》。
俄国作家列夫·托尔斯泰因其作品深刻反映社会现实而被称为什么？,"俄国革命的镜子"。
德国作曲家贝多芬为表达对法国大革命的赞颂和对英雄的崇敬而创作的交响曲是？,《英雄交响曲》。
第一次世界大战的起止时间是？,1914-1918年。
第一次世界大战的根本原因是什么？,帝国主义国家经济、政治发展不平衡。
第一次世界大战的性质是什么？,一场西方列强为重新瓜分世界、争夺世界霸权而发动的帝国主义非正义战争。
第一次世界大战的导火索是什么事件？,萨拉热窝事件。
第一次世界大战中的两大军事集团分别是什么？,同盟国集团和协约国集团。
一战中的同盟国集团主要由哪些国家组成？,德国、奥匈帝国和意大利（后倒戈）。
一战中的协约国集团主要由哪些国家组成？,英国、法国和俄国。
有"绞肉机"之称的第一次世界大战著名战役是？,凡尔登战役。
哪个国家于1917年加入协约国作战，加速了一战的结束？,美国。
哪个国家因1917年爆发十月革命而退出第一次世界大战？,俄国。
第一次世界大战削弱了_____的力量，从根本上动摇了其优势地位。,欧洲
第一次世界大战对殖民地和半殖民地国家产生了什么影响？,削弱了帝国主义的殖民力量，促进了殖民地半殖民地国家的民族觉醒。
