古代埃及文明位于哪个大洲的哪个方位？,非洲东北角。
哪条河流贯穿古代埃及南北？,尼罗河。
古代埃及文明在天文学方面的主要成就是什么？,制定了太阳历。
古代埃及使用的文字是什么？,象形文字。
金字塔是古代埃及文明在哪个领域的成就？,建筑学。
古埃及法老图特摩斯三世统治时期，埃及成为了一个地跨_____、_____两大洲的军事帝国。,亚洲、非洲。
公元前525年，古代埃及被哪个帝国吞并？,波斯帝国。
在古埃及，集军、政、财、神等大权于一身的最高统治者是谁？,法老。
什么建筑被视为古埃及文明的象征？,金字塔。
现存最大的金字塔是哪座？,胡夫金字塔。
古埃及金字塔越修越小的现象反映了什么历史趋势？,王权的逐渐衰落。
古代两河流域文明位于今天的哪个地区？,西亚。
古代两河流域在地理上又被称为什么？,“美索不达米亚”。
公元前18世纪，谁完成了两河流域中下游地区的统一？,汉谟拉比。
古代两河流域文明使用的文字是什么？,楔形文字。
古代两河流域文明在数学方面的主要成就是什么？,发明了60进制。
《汉谟拉比法典》旨在维护哪个阶级的利益？,奴隶主阶级。
《汉谟拉比法典》在世界法制史上的地位是什么？,世界上第一部较为完整的成文法典。
《汉谟拉比法典》的影响是什么？,表明人类社会的法制传统源远流长。
约公元前1500年，哪个民族入侵古代印度并建立了种姓制度？,雅利安人。
哪个王朝是古代印度文明的鼎盛时期？,孔雀王朝。
古代印度发明的计数法，后经阿拉伯人改造传播，被称为什么？,阿拉伯数字。
古代印度的种姓制度中，等级最高的阶层是什么？,婆罗门。
古代印度种姓制度的两个主要特点是什么？,世代相袭和贵贱分明。
种姓制度的实质是什么？,维护奴隶主贵族特权的严格的社会等级制度。
佛教的创始人是谁？,乔达摩·悉达多（释迦牟尼）。
佛教创立于何时？,公元前6世纪。
古希腊城邦的典型特点是什么？,小国寡民。
雅典民主政治发展到高峰是在谁主政时期？,伯里克利。
如何评价雅典民主制度的局限性？,它是建立在奴隶制基础上的民主，占人口绝大多数的外邦人、奴隶、妇女没有政治权利。
如何评价亚历山大东征的侵略性质？,它给东方人民带来巨大灾难，并掠夺了东方世界的无数财富。
亚历山大东征在文化和经济方面有何积极影响？,促进了东西方文化的大交汇，加强了东西方之间的经济联系和贸易往来。
罗马共和国建立于哪一年？,公元前509年。
罗马帝国的建立标志性事件是什么？,公元前27年，屋大维首创“元首制”。
西罗马帝国于哪一年被日耳曼人所灭？,476年。
《十二铜表法》颁布于罗马的哪个时期？,罗马共和国时期。
《十二铜表法》的历史意义是什么？,它是罗马法制建设的第一步，是后世罗马法典乃至欧洲法学的渊源。
《十二铜表法》的本质是什么？,维护奴隶主阶级统治，保障贵族利益。
哪部史诗是了解早期希腊社会的重要文献？,《荷马史诗》。
古希腊雕塑《掷铁饼者》体现了人体的什么特点？,和谐与健美。
古希腊建筑的典型代表是哪座神庙？,雅典帕特农神庙。
古罗马建筑的代表有哪些？,大竞技场、引水道工程、凯旋门、万神庙。
提出“原子论”的古希腊哲学家是谁？,德谟克利特。
被誉为“百科全书式学者”的古希腊哲学家是谁？,亚里士多德。
成为今天公历基础的罗马历法是什么？,儒略历。
基督教产生于何时何地？,1世纪，罗马帝国统治下的巴勒斯坦地区。
法兰克王国的建立者是谁？,克洛维。
查理曼大帝通过鼓励基督教发展和收取什么税来巩固统治？,“什一税”。
西欧封建制度以什么为纽带？,土地的封赐。
西欧封君与封臣关系的特点是什么？,具有严格的等级性，权利与义务交织，有一定契约意义。
西欧庄园的性质是什么？,一个独立的自给自足的经济和政治单位。
西欧庄园的居民主要由哪两类人构成？,领主和佃户。
庄园法庭的作用是什么？,维护庄园公共秩序，既维护领主利益，也一定程度上限制了领主特权。
中世纪欧洲城市复苏的根本原因是什么？,生产力水平的提高。
中世纪城市居民争取自由和自治的常用手段是哪两种？,金钱赎买和武力斗争。
在欧洲中世纪，什么被誉为教育“最美好的花朵”？,大学。
东罗马帝国，即拜占庭帝国，于哪一年被奥斯曼帝国所灭？,1453年。
《罗马民法大全》由哪四部法律文献构成？,《查士丁尼法典》、《法学汇纂》、《法理概要》、《新法典》。
《罗马民法大全》奠定了欧洲什么的法律基础？,民法。
拜占庭文化对后世（尤其是文艺复兴）的主要贡献是什么？,保存了大量的希腊、罗马古籍，为文艺复兴提供了精神营养。
日本历史上的哪次改革使其从奴隶社会过渡到封建社会？,大化改新。
大化改新开始于哪一年，主要仿效哪个朝代的典章制度？,646年，仿效唐朝。
大化改新在政治上建立了以谁为中心的中央集权制度？,天皇。
大化改新对日本历史发展的影响是什么？,使日本发展成为一个中央集权制的封建国家。
在日本幕府统治时期，武士效忠的对象是谁？,他们的直接领主（主从关系）。
伊斯兰教创立于何时？,7世纪初。
伊斯兰教的创立对阿拉伯半岛起到了什么作用？,推动了阿拉伯半岛的统一。
被誉为阿拉伯文学瑰宝的故事集是什么？,《天方夜谭》（又名《一千零一夜》）。
阿拉伯人在沟通东西方文化方面起到了什么作用？,他们担当了沟通东西方文化的角色，将中国的发明和印度的物产传入欧洲。
请列举出四个地跨亚、欧、非三洲的大帝国。,亚历山大帝国、罗马帝国、拜占庭帝国、阿拉伯帝国。
中世纪晚期，西欧社会中不断瓦解的两个基本制度是什么？,庄园制度和封君封臣制度。
中世纪晚期西欧农业和手工业出现了哪两种新的生产和经营方式？,租地农场和手工工场。
租地农场和手工工场体现的“新”生产关系具有什么性质？,资本主义性质。
中世纪晚期，欧洲农村中富有生气的阶级力量是_____。,富裕农民。
文艺复兴运动起源于14世纪的哪个国家？,意大利。
文艺复兴运动产生的根本原因是什么？,资本主义萌芽的出现。
文艺复兴运动的核心思想是什么？,人文主义。
文艺复兴的实质是一场反对教会“神权至上”和提倡人文主义的_____。,新文化运动。
被誉为“文艺复兴的先驱”并创作了《神曲》的作家是谁？,但丁。
创作了《蒙娜丽莎》和《最后的晚餐》的文艺复兴艺术大师是谁？,达·芬奇。
文艺复兴对欧洲资本主义社会的产生和发展奠定了什么基础？,思想文化基础。
开辟新航路热潮出现的根本原因是什么？,商品经济日趋发达，新生资产阶级渴求开拓新市场。
1492年，在西班牙王室资助下，谁向西航行到达了美洲？,哥伦布。
谁的船队在1519年开始的航行中首次完成了环球航行？,麦哲伦。
新航路开辟对世界格局最主要的影响是什么？,世界开始连为一个整体，世界的观念也由此确立起来。
新航路开辟后，世界贸易中心从地中海沿岸转移到了哪里？,大西洋沿岸。
最早进行殖民掠夺的国家是哪两个？,葡萄牙和西班牙。
在早期殖民争霸中，哪个国家最终胜利并号称“日不落帝国”？,英国。
以贩卖黑奴为中心、沟通欧、非、美三地的贸易被称为什么？,三角贸易。
早期殖民掠夺对欧洲的主要影响是什么？,有助于欧洲殖民国家的资本原始积累，促进了资本主义发展。
英国资产阶级革命爆发的根本原因是什么？,封建专制统治严重阻碍了资本主义的发展。
英国资产阶级革命开始的标志性事件是什么？,1640年议会重新召开。
1689年，英国议会通过了哪部法律文件，使君主立宪制逐渐形成？,《权利法案》。
英国资产阶级革命的历史意义是什么？,推翻了封建君主专制，为英国资本主义发展开辟了道路。
美国独立战争爆发的根本原因是什么？,英国的殖民统治严重阻碍了北美资本主义经济的发展。
美国独立战争的开始标志是什么事件？,1775年的来克星顿枪声。
美国独立战争的转折点是哪场战役？,1777年的萨拉托加大捷。
哪份文件是第一个以国家名义明确表述资产阶级政治要求的纲领性文献，标志着美国的诞生？,《独立宣言》。
美国独立战争具有哪双重性质？,既是一次民族解放战争，也是一场资产阶级革命。
世界上第一部资产阶级成文宪法是哪一部？,1787年美国宪法。
1787年美国宪法依据什么原则设计了联邦制共和国？,分权制衡原则。
为法国大革命作了重要理论准备的思想解放运动是什么？,启蒙运动。
启蒙运动的核心思想主张是什么？,宣传自由、平等和民主，反对专制，提倡用理性之光驱散愚昧的黑暗。
法国大革命爆发的标志是什么事件？,1789年7月14日，巴黎民众攻占巴士底狱。
法国大革命的影响是什么？,摧毁了法国的君主统治，传播了资产阶级自由民主思想，具有世界性影响。
拿破仑主持制定，体现了自由平等和私有财产神圣不可侵犯等原则的法典是什么？,《拿破仑法典》（即《民法典》）。
英国、美国、法国资产阶级革命的共同根本原因是什么？,旧的（封建或殖民）统治阻碍了资本主义的发展。
英国资产阶级革命后确立的政体是什么？,君主立宪制。
美国和法国资产阶级革命后确立的政体是什么？,民主共和制。
第一次工业革命首先从哪个国家开始？,英国。
第一次工业革命开始的标志是哈格里夫斯发明的什么？,珍妮纺纱机。
谁改进了蒸汽机，使人类进入了“蒸汽时代”？,瓦特。
第一次工业革命中，斯蒂芬森利用蒸汽机发明了什么交通工具？,蒸汽机车（火车）。
工业革命使生产方式发生了什么变化？,从手工生产转变为机器生产。
工业革命使生产组织形式发生了什么变化？,从手工工场转变为工厂。
马克思主义诞生的标志是什么？,1848年《共产党宣言》的发表。
《共产党宣言》的发表使无产阶级的斗争有了_____的指导。,科学理论。
世界上第一个无产阶级政权是什么？,1871年的巴黎公社。
